City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Westport,US,2021-10-28 20:44:28,41.1415,-73.3579,58.95,69,90,7.0
237,Flin Flon,CA,2021-10-28 20:44:28,54.7682,-101.865,44.44,76,75,11.5
238,Bellevue,US,2021-10-28 20:44:18,47.6104,-122.2007,64.98,93,90,3.0
239,Gallup,US,2021-10-28 20:40:15,35.5281,-108.7426,65.16,30,1,1.01
240,Arlit,NE,2021-10-28 20:44:29,18.7369,7.3853,85.19,11,22,8.97
241,Tarkwa,GH,2021-10-28 20:44:29,5.3064,-1.9847,74.88,95,58,2.39
242,Pustoshka,RU,2021-10-28 20:44:30,56.3355,29.369,51.1,98,100,7.65
243,Turukhansk,RU,2021-10-28 20:44:30,65.8167,87.9833,14.25,82,100,17.2
244,Chokurdakh,RU,2021-10-28 20:44:31,70.6333,147.9167,-10.37,97,94,4.07
245,Jodar,ES,2021-10-28 20:44:31,37.8406,-3.3526,61.99,57,100,2.98
246,Seydi,TM,2021-10-28 20:44:32,39.4816,62.9137,41.81,70,3,5.41
247,Totma,RU,2021-10-28 20:44:32,59.9747,42.7642,25.29,84,13,1.68
248,Beringovskiy,RU,2021-10-28 20:44:33,63.05,179.3167,5.22,88,24,6.93
249,Talavera De La Reina,ES,2021-10-28 20:44:33,39.9635,-4.8308,66.61,46,100,2.86
250,Rapid City,US,2021-10-28 20:44:33,44.0805,-103.231,57.45,30,1,8.99
251,Le Vauclin,MQ,2021-10-28 20:44:34,14.5452,-60.8388,86.13,66,26,10.36
252,Amga,RU,2021-10-28 20:44:34,60.8953,131.9608,18.0,93,65,4.72
253,Simav,TR,2021-10-28 20:44:35,39.0882,28.9777,45.84,84,2,6.33
254,Podgorica,ME,2021-10-28 20:44:35,42.4411,19.2636,47.98,76,0,8.05
255,Onguday,RU,2021-10-28 20:44:36,50.75,86.15,27.3,96,49,2.15
256,Arraial Do Cabo,BR,2021-10-28 20:44:36,-22.9661,-42.0278,75.16,94,75,12.66
257,Alta Floresta,BR,2021-10-28 20:44:36,-9.8756,-56.0861,89.42,55,20,3.44
258,Bawku,GH,2021-10-28 20:44:37,11.0616,-0.2417,82.06,56,66,8.99
